id,location,match_id,shot_end_location,shot_outcome,competition_name,season_name
e2be6784-0093-4126-8d52-8dcc3b9348a8,"[100.0, 19.0]",15998,"[120.0, 35.1, 0.1]",Off T,La Liga,2018/2019
2a93e572-ef0e-4db8-931d-96847f4d34d4,"[107.1, 38.1]",15998,"[119.7, 28.4]",Wayward,La Liga,2018/2019
038e137e-b1a5-4e62-81d2-cbbce59d0446,"[98.1, 38.5]",15998,"[120.0, 42.8, 0.7]",Goal,La Liga,2018/2019
64a50bc2-60e7-4340-b4c2-4929a6379404,"[95.8, 42.0]",15998,"[120.0, 35.9, 3.0]",Post,La Liga,2018/2019
4eaa5f1c-d50f-4ef9-a8a4-553f9f27c6fe,"[100.4, 41.6]",15998,"[118.1, 39.1, 0.2]",Saved,La Liga,2018/2019
7de98f9e-46c8-4a23-9c7c-2af8a086c1a7,"[89.6, 29.2]",15998,"[120.0, 47.3, 3.7]",Off T,La Liga,2018/2019
93dc2d27-1548-4f5c-b2e5-3b6254d5e60b,"[97.0, 59.1]",15998,"[116.7, 39.5, 0.8]",Saved,La Liga,2018/2019
91a89b8a-0617-45f2-82ce-41783207008e,"[101.1, 58.1]",15998,"[103.1, 56.1]",Blocked,La Liga,2018/2019
3afc36c6-60df-4c73-ab91-d168841bada9,"[108.0, 32.9]",15998,"[118.7, 38.4, 1.3]",Saved,La Liga,2018/2019
180f8f91-caec-4bbd-b570-532d2428c6df,"[100.8, 20.8]",15998,"[117.0, 39.8, 1.7]",Saved,La Liga,2018/2019
92ec9375-6b99-4854-bd86-72d92f092995,"[113.7, 45.2]",15998,"[120.0, 39.8, 1.4]",Goal,La Liga,2018/2019
bac12e66-3e4a-4b01-a490-54554a475298,"[104.6, 37.0]",15998,"[120.0, 38.4, 2.0]",Goal,La Liga,2018/2019
e6f0bd2d-9543-47cb-91bf-db8ae60064cd,"[91.8, 26.1]",15998,"[118.3, 38.9, 1.2]",Saved,La Liga,2018/2019
16c05f7e-9623-4b06-bd5e-4a5703911f6b,"[105.5, 39.9]",15998,"[110.0, 39.9]",Blocked,La Liga,2018/2019
100423f2-39d9-4271-a256-60ab19020fac,"[104.9, 32.0]",15998,"[118.4, 41.6, 1.3]",Saved,La Liga,2018/2019
6e852918-33cb-4b26-a7bc-710fa773ee7a,"[112.1, 48.1]",15998,"[117.8, 43.1, 2.0]",Saved,La Liga,2018/2019
b9a8ab8a-570d-4144-bf7f-7247ad6111a1,"[106.1, 54.1]",15998,"[120.0, 42.5, 3.9]",Off T,La Liga,2018/2019
9e78852d-3945-4dfc-aea1-7b71c666b6ce,"[102.1, 27.1]",15998,"[113.9, 35.6, 0.2]",Saved,La Liga,2018/2019
ce84808e-8326-4812-b76b-5b3d66e20c79,"[105.0, 35.0]",16029,"[120.0, 43.4, 2.2]",Goal,La Liga,2018/2019
c6ebd0c7-fc2e-4206-87b9-d089ec73db02,"[92.2, 28.6]",16029,"[102.2, 29.9]",Blocked,La Liga,2018/2019
673767d2-ed21-4dc9-b440-3fc6198bbfb4,"[99.4, 26.3]",16029,"[120.0, 44.1, 0.2]",Post,La Liga,2018/2019
d7a45557-acce-491d-9acb-348aa4b9f92d,"[114.0, 29.0]",16029,"[117.0, 35.0]",Blocked,La Liga,2018/2019
8129c2e3-93d9-48ec-8d98-911889e59595,"[105.1, 45.1]",16029,"[120.0, 30.4, 2.1]",Off T,La Liga,2018/2019
09342f5a-82e2-4fd8-9487-09b1aed195af,"[101.0, 47.7]",16029,"[120.0, 36.6, 0.2]",Goal,La Liga,2018/2019
aa7289bd-b52d-47ca-aa73-4f6021965cc0,"[111.0, 53.7]",16029,"[120.0, 42.9, 4.4]",Off T,La Liga,2018/2019
cf93ea3b-493d-4d54-8947-e224bbcebaad,"[85.0, 51.0]",16029,"[120.0, 48.8, 5.2]",Off T,La Liga,2018/2019
74070721-1b47-4e4b-9550-bb685c60a631,"[108.1, 35.6]",16029,"[118.6, 37.7, 0.5]",Saved,La Liga,2018/2019
ebe1e0b2-3d99-4e1e-b330-e580224a8271,"[94.0, 32.0]",16029,"[120.0, 46.3, 3.5]",Off T,La Liga,2018/2019
df377547-cb6e-4379-9a20-3e56c85135f6,"[111.0, 26.0]",16029,"[120.0, 49.7, 0.3]",Off T,La Liga,2018/2019
941a3b76-4c83-46dc-b5f3-ddda2e2b2c43,"[111.3, 53.5]",16029,"[120.0, 45.1, 2.0]",Off T,La Liga,2018/2019
909f2cf7-c6c4-419f-bc3c-91044fc50937,"[114.1, 33.1]",16029,"[120.0, 41.0, 3.6]",Off T,La Liga,2018/2019
5f663ffc-db95-46a5-99e7-f9f65add1715,"[101.0, 42.2]",16029,"[117.5, 41.6, 0.2]",Saved,La Liga,2018/2019
87fd462a-7a4c-4079-81bf-93998ea69ee5,"[113.6, 47.9]",16029,"[120.0, 44.5, 0.2]",Off T,La Liga,2018/2019
5ee9041c-b497-4be2-9be8-4a8f763afff7,"[109.0, 51.0]",16029,"[114.2, 46.6, 1.8]",Saved,La Liga,2018/2019
a27e5285-7744-4671-b7d6-5c3d73cffd7e,"[100.1, 18.1]",16029,"[118.4, 38.3, 0.9]",Saved,La Liga,2018/2019
a6e7f97f-243e-486f-8566-2400d9e51e10,"[90.1, 38.1]",16029,"[120.0, 36.1, 1.0]",Post,La Liga,2018/2019
5d9afbc0-a01a-4f8b-9bc6-df01c25817f9,"[115.7, 50.2]",16029,"[120.0, 41.2, 5.0]",Off T,La Liga,2018/2019
9aa37a73-7ab9-4d38-9e32-dd802522e912,"[105.1, 51.1]",16029,"[107.1, 50.1]",Blocked,La Liga,2018/2019
ec0dd28b-9cf1-4587-a9a7-c3a404127124,"[111.2, 49.3]",16029,"[120.0, 20.6, 0.2]",Off T,La Liga,2018/2019
ae6a44d4-e7d5-4bbb-9406-71ec24f478e4,"[109.3, 39.2]",16029,"[119.3, 37.5, 2.2]",Saved,La Liga,2018/2019
a0b4f935-d5a4-495b-a89b-fd0f54c7cf76,"[115.0, 33.0]",16029,"[118.0, 36.0, 0.4]",Saved,La Liga,2018/2019
73bd8039-7076-41a1-805d-cc1966ca0fdd,"[109.5, 55.1]",16029,"[120.0, 42.2, 4.6]",Off T,La Liga,2018/2019
00760352-2e05-4ef1-9a29-7f556c3f4ce0,"[108.1, 40.1]",16029,"[120.0, 37.2, 0.2]",Goal,La Liga,2018/2019
5c7fff34-f3a8-407d-bfd3-d30e3cbf1c39,"[108.0, 46.0]",16029,"[110.0, 45.0]",Wayward,La Liga,2018/2019
42c26f40-2811-41ec-9d0c-5b14b9d1aa81,"[108.2, 53.2]",16029,"[120.0, 32.2, 0.2]",Off T,La Liga,2018/2019
3e35ceba-bed9-48d0-8161-401271ba5aeb,"[100.1, 33.1]",16029,"[120.0, 34.1, 6.2]",Off T,La Liga,2018/2019
bb7546e7-7a2d-4d5b-9b82-2cc49dbab560,"[110.1, 25.1]",16029,"[110.6, 25.9]",Blocked,La Liga,2018/2019
55524e5c-d905-456c-85a9-a5bdc65b60c2,"[112.9, 38.0]",16029,"[120.0, 47.1, 1.5]",Off T,La Liga,2018/2019
b5047702-b169-4a5d-81c5-824ae354d83b,"[101.8, 38.6]",16029,"[117.8, 42.1, 0.2]",Saved,La Liga,2018/2019
2e9fa06d-e49b-4641-8deb-caba8e68b2c8,"[108.1, 51.1]",16029,"[109.2, 50.0]",Blocked,La Liga,2018/2019
7466ec9b-29e4-47b8-a51e-ad01d5d347fe,"[97.0, 55.1]",16029,"[108.3, 47.2]",Blocked,La Liga,2018/2019
90a6d8af-e2ba-417d-8e93-4026df413ecc,"[86.5, 44.2]",16029,"[119.1, 42.1, 0.5]",Saved,La Liga,2018/2019
4052f44a-35a8-4707-884d-e0a1496cba1f,"[100.1, 29.8]",16029,"[120.0, 40.4, 4.1]",Off T,La Liga,2018/2019
ed2fc9f6-dcf6-494a-ba96-406b171c1e7e,"[103.2, 39.0]",16029,"[116.7, 41.4, 0.9]",Saved,La Liga,2018/2019
573b2742-e80b-4000-93fa-ed9f9343287d,"[114.1, 49.1]",16029,"[117.1, 43.7, 0.6]",Saved,La Liga,2018/2019
1b796c07-c495-4109-a1db-1f14d9e1661b,"[104.0, 52.0]",16029,"[107.0, 50.0]",Blocked,La Liga,2018/2019
96a7fe83-4ce9-4d51-8547-b00ae6035823,"[104.0, 45.0]",16029,"[104.9, 44.9]",Blocked,La Liga,2018/2019
31505a58-3557-46b4-a489-a6525748c098,"[104.1, 58.1]",16029,"[120.0, 36.7, 0.4]",Goal,La Liga,2018/2019
b07d183f-e276-4ef5-911c-5076cbef27a4,"[103.3, 28.7]",16029,"[120.0, 43.4, 0.6]",Goal,La Liga,2018/2019
426821ca-9e3c-407a-b1f7-1130f425f6ee,"[105.1, 33.1]",16029,"[107.7, 34.3]",Blocked,La Liga,2018/2019
26fe66f4-a67f-43d1-b7e9-c06ce515f423,"[100.8, 27.3]",16073,"[108.1, 33.1]",Blocked,La Liga,2018/2019
d9551553-9c13-48e8-b25b-0e47cb063fd1,"[102.6, 49.9]",16073,"[107.4, 46.7]",Blocked,La Liga,2018/2019
6e92cd04-d1d0-41f7-b9f4-cb9c8b3f41bc,"[97.2, 59.9]",16073,"[120.0, 38.3, 3.8]",Off T,La Liga,2018/2019
4acfd91e-730d-4fc1-997e-f789f3f66087,"[100.5, 36.1]",16073,"[109.7, 36.9]",Blocked,La Liga,2018/2019
32aa0fad-2fb5-41d4-bd26-5e1a2e6b6487,"[91.5, 50.4]",16073,"[94.0, 48.9]",Blocked,La Liga,2018/2019
51b82ac7-32d4-4d48-aced-66939a46eac8,"[118.5, 32.2]",16073,"[120.0, 37.0, 1.9]",Goal,La Liga,2018/2019
fe5a49d5-d8f7-466e-a8e5-49686876ed16,"[94.0, 52.5]",16073,"[119.3, 42.8, 1.8]",Saved,La Liga,2018/2019
cecbfd33-c6da-41e4-b169-1a11fb090bf7,"[97.6, 53.5]",16073,"[120.0, 42.7, 3.5]",Off T,La Liga,2018/2019
ca7bcfaf-6eca-446f-9e0f-a6fcee09f97b,"[91.9, 41.2]",16073,"[100.1, 41.9]",Blocked,La Liga,2018/2019
d05690b2-18af-4f6e-8971-e2abe836368c,"[111.9, 52.9]",16073,"[120.0, 41.9, 0.4]",Goal,La Liga,2018/2019
72bf8da2-91cc-4eb4-9e37-7b416013dc53,"[101.9, 49.9]",16086,"[120.0, 15.6]",Wayward,La Liga,2018/2019
7fb057cd-b017-4e3a-9342-1ebcfe03e18c,"[92.9, 42.9]",16086,"[120.0, 43.7, 2.3]",Goal,La Liga,2018/2019
dc341845-a139-4f2e-a360-502aadf0a32e,"[109.1, 31.1]",16086,"[116.9, 36.4, 0.2]",Saved,La Liga,2018/2019
a9b9c1b4-7006-49e1-943f-0abd585e2f40,"[114.2, 33.4]",16086,"[120.0, 35.2, 1.6]",Off T,La Liga,2018/2019
8efe173d-fdd3-476e-b48e-8b03003c14a9,"[110.1, 26.1]",16086,"[120.0, 43.2, 1.8]",Goal,La Liga,2018/2019
20f14b79-cb66-4712-b7c2-9016ba89215c,"[94.0, 53.0]",16086,"[120.0, 43.0, 5.3]",Off T,La Liga,2018/2019
64924634-044f-4f2a-b0e7-bda3c7ec43ab,"[116.8, 29.7]",16086,"[118.6, 34.6]",Blocked,La Liga,2018/2019
b7163b52-6a7a-4d5d-9747-392e4402b339,"[115.9, 49.5]",16086,"[119.0, 42.9, 1.1]",Saved,La Liga,2018/2019
8de50463-f078-4a5c-94da-72cbb2ae39e5,"[114.6, 35.8]",16086,"[120.0, 33.5, 1.0]",Off T,La Liga,2018/2019
68cee7d0-9a58-4f2b-8db2-dd782ba12206,"[112.1, 37.1]",16086,"[120.0, 44.1, 0.2]",Post,La Liga,2018/2019
39ec9591-0515-4e8c-8de6-681c0c457695,"[115.1, 46.1]",16086,"[115.9, 44.5]",Blocked,La Liga,2018/2019
bdd4158f-aa4e-4472-9234-7c2db7f90e25,"[103.6, 29.1]",16086,"[112.7, 35.6]",Blocked,La Liga,2018/2019
441759ba-a6ca-4e9d-bcc9-c240dfc7c151,"[112.0, 38.9]",16086,"[119.1, 38.9, 0.9]",Saved,La Liga,2018/2019
3cf9f53a-86b7-4a93-bc63-c2766938d169,"[113.1, 47.1]",16086,"[120.0, 36.4, 0.5]",Post,La Liga,2018/2019
64f8da4e-5b86-4a3b-ae97-fd9d699de799,"[113.0, 43.0]",16086,"[120.0, 36.9, 3.5]",Off T,La Liga,2018/2019
7340f498-6d31-409b-b430-ba63d0be78f7,"[119.0, 30.9]",16086,"[120.0, 43.1, 0.4]",Goal,La Liga,2018/2019
165eba6e-e6b7-47d5-afc7-138786f8f0fd,"[99.1, 50.1]",16086,"[120.0, 22.7]",Wayward,La Liga,2018/2019
3ec545e2-82e0-47a0-8597-06ea0f58b16b,"[88.2, 32.7]",16086,"[98.9, 32.5]",Blocked,La Liga,2018/2019
7e9c6832-023a-403f-955b-458c6e16bafd,"[107.3, 29.8]",16086,"[108.0, 30.4]",Blocked,La Liga,2018/2019
bc53ac90-28df-4b1c-8a3b-9235cf8a53ce,"[114.7, 49.0]",16086,"[117.6, 43.8, 0.2]",Saved,La Liga,2018/2019
cb2b4fd4-3e37-4006-8e72-2522c92aa402,"[101.1, 50.9]",16086,"[119.2, 42.9, 0.5]",Saved,La Liga,2018/2019
0cb55b84-2e78-4ed3-a50d-552c230e058b,"[92.8, 28.1]",16086,"[119.9, 36.9, 2.4]",Goal,La Liga,2018/2019
7c0469de-ddf6-415f-89fd-4e7d40709255,"[86.1, 51.0]",16086,"[119.0, 41.5, 1.0]",Saved,La Liga,2018/2019
baf62da7-255c-4cc3-8209-2c264ca2b4c8,"[115.1, 35.1]",16086,"[120.0, 35.7, 0.5]",Off T,La Liga,2018/2019
348dcbf3-b602-4a8f-93d9-c4e8fd5f2273,"[110.4, 27.2]",16086,"[118.6, 39.4, 0.9]",Saved,La Liga,2018/2019
942eaf4b-45bf-4ff9-b479-f94cf63169e8,"[112.7, 41.3]",16086,"[118.0, 41.0, 1.3]",Saved,La Liga,2018/2019
d97665d0-fa29-4313-ba32-9360b533fbfd,"[116.8, 28.9]",16086,"[117.0, 31.0]",Blocked,La Liga,2018/2019
34c05a45-c2f4-4555-8573-ba2324739e41,"[110.1, 39.9]",16086,"[120.0, 39.7, 3.5]",Off T,La Liga,2018/2019
f48c8a93-4e43-4a68-a0f2-aa43a0f27f82,"[99.1, 50.1]",16086,"[101.1, 49.7]",Blocked,La Liga,2018/2019
89b0a68f-e349-4975-a9df-7ff7b80aee59,"[106.5, 36.9]",16086,"[114.8, 37.1]",Blocked,La Liga,2018/2019
00de422d-31ae-44de-8f2d-2a1201d7d683,"[102.1, 32.1]",16086,"[120.0, 52.5]",Wayward,La Liga,2018/2019
1bde0405-e3e1-49fd-b7b0-ae62ed5716c1,"[111.1, 51.8]",16086,"[111.9, 50.6]",Blocked,La Liga,2018/2019
ea757c57-391c-46e0-8657-18fd5c486217,"[93.3, 27.9]",16190,"[94.8, 28.4]",Blocked,La Liga,2018/2019
602416d1-b33d-4e65-a50e-4ae96b87a9a8,"[101.7, 34.7]",16190,"[105.1, 36.0]",Blocked,La Liga,2018/2019
